"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2018","2018",102.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2019","2019",106.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2020","2020",104.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IRL","Ireland","2021","2021",105.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2017","2017",101.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2018","2018",103,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2019","2019",103.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2020","2020",105.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ITA","Italy","2021","2021",106.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2017","2017",100.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2018","2018",100.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2019","2019",101,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2020","2020",101.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","JPN","Japan","2021","2021",101.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2017","2017",104.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2018","2018",104.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2019","2019",103.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2020","2020",105.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","KOR","Korea","2021","2021",108.1,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2017","2017",101,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2018","2018",103.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2019","2019",104.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2020","2020",109.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","LUX","Luxembourg","2021","2021",116.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2017","2017",112.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2018","2018",118.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2019","2019",123.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2020","2020",128.3,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","MEX","Mexico","2021","2021",134.9,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2017","2017",101.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2018","2018",104.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2019","2019",107.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2020","2020",109.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NLD","Netherlands","2021","2021",112.1,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2017","2017",105,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2018","2018",106.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2019","2019",109.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2020","2020",111.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NZL","New Zealand","2021","2021",116.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2017","2017",102.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2018","2018",109.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2019","2019",108.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2020","2020",106,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","NOR","Norway","2021","2021",124.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2017","2017",101.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2018","2018",103.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2019","2019",106.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2020","2020",110.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","POL","Poland","2021","2021",116.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2017","2017",103.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2018","2018",105.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2019","2019",107,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2020","2020",109.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","PRT","Portugal","2021","2021",110.8,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVK","Slovak Republic","2017","2017",100.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVK","Slovak Republic","2018","2018",102.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVK","Slovak Republic","2019","2019",105.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVK","Slovak Republic","2020","2020",107.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVK","Slovak Republic","2021","2021",110.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ESP","Spain","2017","2017",101.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ESP","Spain","2018","2018",102.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ESP","Spain","2019","2019",104.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ESP","Spain","2020","2020",105.7,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ESP","Spain","2021","2021",108.1,"P","Provisional value"
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SWE","Sweden","2017","2017",103.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SWE","Sweden","2018","2018",106.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SWE","Sweden","2019","2019",108.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SWE","Sweden","2020","2020",111.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SWE","Sweden","2021","2021",114.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHE","Switzerland","2017","2017",99.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHE","Switzerland","2018","2018",99.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHE","Switzerland","2019","2019",99.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHE","Switzerland","2020","2020",99,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHE","Switzerland","2021","2021",100,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","TUR","Türkiye","2017","2017",120,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","TUR","Türkiye","2018","2018",139.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","TUR","Türkiye","2019","2019",159.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","TUR","Türkiye","2020","2020",182.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","TUR","Türkiye","2021","2021",235.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GBR","United Kingdom","2017","2017",103.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GBR","United Kingdom","2018","2018",105.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GBR","United Kingdom","2019","2019",107.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GBR","United Kingdom","2020","2020",114.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","GBR","United Kingdom","2021","2021",114.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","USA","United States","2017","2017",102.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","USA","United States","2018","2018",105.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","USA","United States","2019","2019",107.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","USA","United States","2020","2020",108.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","USA","United States","2021","2021",113.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BRA","Brazil","2017","2017",112.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BRA","Brazil","2018","2018",120.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BRA","Brazil","2019","2019",125.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","BRA","Brazil","2020","2020",134,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHL","Chile","2017","2017",109.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHL","Chile","2018","2018",111.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHL","Chile","2019","2019",114.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHL","Chile","2020","2020",125.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHL","Chile","2021","2021",133.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHN","China (People's Republic of)","2017","2017",105.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHN","China (People's Republic of)","2018","2018",109.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHN","China (People's Republic of)","2019","2019",110.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","CHN","China (People's Republic of)","2020","2020",111.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","EST","Estonia","2017","2017",105.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","EST","Estonia","2018","2018",111,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","EST","Estonia","2019","2019",114.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","EST","Estonia","2020","2020",113.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","EST","Estonia","2021","2021",120.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IND","India","2017","2017",107.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IND","India","2018","2018",111.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IND","India","2019","2019",114.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IND","India","2020","2020",120.6,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IDN","Indonesia","2017","2017",106.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IDN","Indonesia","2018","2018",110.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IDN","Indonesia","2019","2019",112.7,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IDN","Indonesia","2020","2020",112.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","IDN","Indonesia","2021","2021",119,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISR","Israel","2017","2017",100.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISR","Israel","2018","2018",101.1,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISR","Israel","2019","2019",103,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISR","Israel","2020","2020",104,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ISR","Israel","2021","2021",106.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","RUS","Russia","2017","2017",108.3,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","RUS","Russia","2018","2018",119.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","RUS","Russia","2019","2019",122.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVN","Slovenia","2017","2017",102.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVN","Slovenia","2018","2018",104.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVN","Slovenia","2019","2019",106.9,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVN","Slovenia","2020","2020",108.2,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","SVN","Slovenia","2021","2021",111,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ZAF","South Africa","2017","2017",112.8,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ZAF","South Africa","2018","2018",117,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ZAF","South Africa","2019","2019",122.5,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ZAF","South Africa","2020","2020",129.4,,
"ECONPIBN","Gross domestic product (GDP)","INDICEIP","Price index (2015=100)","ZAF","South Africa","2021","2021",137.5,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUS","Australia","2017","2017",1842635,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUS","Australia","2018","2018",1946613,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUS","Australia","2019","2019",1979471,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUS","Australia","2020","2020",2080419,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUS","Australia","2021","2021",2309051,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUT","Austria","2017","2017",369361.9,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUT","Austria","2018","2018",385274.1,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUT","Austria","2019","2019",397169.5,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUT","Austria","2020","2020",381042.5,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","AUT","Austria","2021","2021",406148.7,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","BEL","Belgium","2017","2017",445050.1,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","BEL","Belgium","2018","2018",460050.8,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","BEL","Belgium","2019","2019",478676.1,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","BEL","Belgium","2020","2020",459827.4,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","BEL","Belgium","2021","2021",502521.1,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CAN","Canada","2017","2017",2140641,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CAN","Canada","2018","2018",2235675,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CAN","Canada","2019","2019",2313563,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CAN","Canada","2020","2020",2209681,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CAN","Canada","2021","2021",2509618,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CZE","Czechia","2017","2017",5110743,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CZE","Czechia","2018","2018",5410761,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CZE","Czechia","2019","2019",5791498,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CZE","Czechia","2020","2020",5709131,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","CZE","Czechia","2021","2021",6108717,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","DNK","Denmark","2017","2017",2192960,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","DNK","Denmark","2018","2018",2253316.2,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","DNK","Denmark","2019","2019",2310954.8,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","DNK","Denmark","2020","2020",2323919.3,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","DNK","Denmark","2021","2021",2504177.7,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","FIN","Finland","2017","2017",226301,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","FIN","Finland","2018","2018",233462,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","FIN","Finland","2019","2019",239858,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","FIN","Finland","2020","2020",238038,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","FIN","Finland","2021","2021",250594,,
"ECONPIBN","Gross domestic product (GDP)","MLLNCUMT","Million of national currency units","FRA","France","2017","2017",2297242,,
